,Section,Speaker,Text,Timestamp,Hearing
30,Section_1,Adam Schiff,"In a sworn declaration after Taylor’s testimony, Sondland would admit to telling Ukrainians at a September 1st meeting in Warsaw quote, “That resumption of US aid would likely not occur until Ukraine provided the public anti-corruption statement that we have been discussing for many weeks.”",09:28,Taylor/Kent
31,Section_1,Adam Schiff,"The President’s chief of staff confirmed Trump’s efforts to coerce Ukraine by withholding aid. When Mick Mulvaney was asked publicly about it, his answer was breathtaking. “We do that all the time with foreign policy,” he said, “I have news for everybody. Get over it. There’s going to be political influence in foreign policy. That is going to happen.” The video of that confession is plain for all to see.",09:48,Taylor/Kent
32,Section_1,Adam Schiff,Some have argued in the President’s defense that the aid was ultimately released. That is true. But only after Congress began an investigation. Only after the President’s lawyers learned of a whistleblower complaint. And only after members of Congress began asking uncomfortable questions about quid pro quos.,10:19,Taylor/Kent
33,Section_1,Adam Schiff,"A scheme to condition official acts or taxpayer funding to obtain a personal political benefit does not become less odious because it is discovered before it is fully consummated. In fact, the security assistance had been delayed so long, it would take another act of Congress to ensure that it could still go out. And that Oval Office meeting that Zelensky desperately sought, it still hasn’t happened.",10:40,Taylor/Kent
34,Section_1,Adam Schiff,"Although we have learned a great deal about these events in the last several weeks, there are still missing pieces. The President has instructed the State Department and other agencies to ignore congressional subpoenas for documents. He has instructed witnesses to defy subpoenas and refuse to appear. And he has suggested that those who do expose wrongdoing should be treated like traitors and spies.",11:08,Taylor/Kent
35,Section_1,Adam Schiff,"These actions will force Congress to consider, as it did with President Nixon, whether Trump’s obstruction of the constitutional duties of Congress constituted additional grounds for impeachment. If the President can simply refuse all oversight, particularly in the context of an impeachment proceeding, the balance of power between our two branches of government will be irrevocably altered. That is not what the Founders intended. And the prospects for further corruption and abuse of power, in this administration or any other, will be exponentially increased.",11:34,Taylor/Kent
36,Section_1,Adam Schiff,"This is what we believe the testimony will show, both as to the President’s conduct and as to his obstruction of Congress. The issue that we confront is the one posed by the President’s acting Chief of Staff when he challenged Americans to “get over it.” If we find that the President of the United States abused his power and invited foreign interference in our elections, or if he sought to condition, coerce, extort, or bribe an ally into conducting investigations to aid his reelection campaign and did so by withholding official acts, a White House meeting or hundreds of millions of dollars of needed military aid, must we simply “get over it”?",12:11,Taylor/Kent
37,Section_1,Adam Schiff,"Is this what Americans should now expect from their president? If this is not impeachable conduct, what is? Does the oath of office itself, requiring that our laws be faithfully executed, that our president defend a constitution that balances the powers of its branches, setting ambition against ambition so we become no monarchy, still have meaning?",12:57,Taylor/Kent
38,Section_1,Adam Schiff,"These are the questions we must ask and answer. Without rancor if we can, without delay regardless, and without party favor and without prejudice if we are true to our responsibilities. Benjamin Franklin was asked what kind of a country America was to become. “A Republic, he answered, “if you can keep it.” The fundamental issue raised by the impeachment inquiry into Donald J. Trump is, “Can we keep it?”",13:24,Taylor/Kent
39,Section_1,Devin Nunes,"In a July open hearing of this committee following publication of the Mueller report, the Democrats engaged in a last-ditch effort to convince the American people that President Trump is a Russian agent. That hearing was the pitiful finale of a three year long operation by the Democrats, the corrupt media and partisan bureaucrats to overturn the results of the 2016 election. After the spectacular implosion of their Russia hoax on July 24th in which they spent years denouncing any Republican, whoever shook hands with a Russian. On July 25th they turned on a dime and now claim the real malfeasance is Republican’s dealings with Ukraine. In the blink of an eye, we’re asked to simply forget about Democrats on this committee falsely claiming they had more than circumstantial evidence of collusion between President Trump and Russians. We should forget about them reading fabrications of Trump, Russia, collusion from the steel dossier into the congressional record.",00:00,Taylor/Kent
40,Section_2,Devin Nunes,"We should also forget about them trying to obtain nude pictures of Trump from Russian pranksters who pretended to be Ukrainian officials. We should forget about them leaking a false story to CNN while he was still testifying to our committee claiming that Donald Trump jr. was colluding with WikiLeaks. And forget about countless other deceptions, large and small that make them the last people on earth with the credibility to hurl more preposterous accusations at their political opponents.",01:13,Taylor/Kent
41,Section_2,Devin Nunes,"And yet now here we are, we’re supposed to take these people at face value when they trot out a new batch of allegations. But anyone familiar with the Democrats, scorched earth war against President Trump would not be surprised to see all the typical signs that this is a carefully orchestrated media smear campaign. For example, after vowing publicly that impeachment requires bipartisan support, Democrats are pushing impeachment forward without the backing of a single Republican.",01:49,Taylor/Kent
42,Section_2,Devin Nunes,"The witnesses deemed suitable for television by the Democrats were put through a closed-door audition process and a cult-like atmosphere in the basement of the Capitol where Democrats conducted secret depositions, released a flood of misleading and one-sided leaks and later selectively release transcripts in a highly staged manner. Violating their own guidelines Democrats repeatedly redacted from the transcripts the name of Alexandra Chalupa. A contractor for the Democratic National Committee who worked with Ukrainian officials to collect dirt on the Trump campaign, which she provided to the DNC and the Hillary Clinton campaign. The Democrats rejected most of the Republican’s witness request, resulting in a horrifically one-sided process where the crucial witnesses are denied a platform if their testimony does not support the Democrats absurd accusations. Notably, they are trying to impeach the president for inquiring about Hunter Biden’s activities. Yet they refuse our request to hear from Biden himself.",02:23,Taylor/Kent
43,Section_2,Devin Nunes,"The whistleblower was acknowledged to have a bias against President Trump, and his attorney touted a coup against the president and called for his impeachment just weeks after the election. At a prior hearing, Democrats on this committee, read out a purely fictitious rendition of the president’s phone call with President Zelensky. They clearly found the real conversation to be insufficient for their impeachment narrative, so they just made up a new one.",03:37,Taylor/Kent
44,Section_2,Devin Nunes,And most egregiously the staff of the Democrats on this committee had direct discussions with the whistleblower before his or her complaint was submitted to the inspector general. Republicans can’t get a full account of these contacts because Democrats broke their promise to have the whistleblower testify to this committee. Democrat members hid these contacts from Republicans and then lied about them to the American people on national television.,04:09,Taylor/Kent
45,Section_2,Devin Nunes,"I’ve noted before, the Democrats have a long habit of accusing Republicans of offenses they themselves are committing. Let’s recall for years they accused the Trump campaign of colluding with Russia when they themselves were colluding with Russia by funding and spreading the Steele dossier, which relied on Russian sources. And now they accused President Trump of malfeasance and Ukraine when they themselves are culpable. The Democrats cooperated in Ukrainian election meddling, and they defend Hunter Biden’s securing of a lavishly paid position with a corrupt Ukrainian company. All while his father served as vice president.",04:38,Taylor/Kent
46,Section_2,Devin Nunes,"Despite this hypocrisy, the Democrats are advancing their impeachment sham, but we should not hold any hearings at all until we get answers to three crucial questions the Democrats are determined to avoid asking. First, what is the full extent of the Democrats prior coordination with the whistleblower? And who else did the whistleblower coordinate this effort with? Second, what is the full extent of Ukraine’s election meddling against the Trump campaign? And third, why did Burisma hire Hunter Biden and what did he do for them? And did his position affect any US government actions under the Obama administration? These questions will remain outstanding because Republicans were denied the right to call witnesses that know these answers.",05:22,Taylor/Kent
47,Section_2,Devin Nunes,"What we will witness today is a televised theatrical performance stage by the Democrats. Ambassador Taylor and Mr. Kent, I’d like to welcome you here. I’d like to congratulate you for passing the Democrats star chamber additions held for the last weeks in the basement of the Capitol. It seems you agreed witting or unwittingly to participate in a drama, but the main performance the Russia hoax has ended and you’ve been cast in the low rent Ukrainian sequel.",06:17,Taylor/Kent
48,Section_2,Devin Nunes,I’ll conclude by noting the immense damage the politicized bureaucracy has done to Americans’ faith in government. Though executive branch employees are charged with implementing the policies set by our president who is elected and responsible to the American people. Elements of the civil service have decided that they not the president are really in charge.,06:54,Taylor/Kent
49,Section_2,Devin Nunes,"Thus, as we’ll learn in these hearings. After expressing skepticism of foreign aid and concern about foreign corruption on the campaign trail, President Trump outraged the bureaucracy by acting skeptically about foreign aid and expressing concerns about foreign corruption. Officials alarm at the president’s actions was typically based on second hand, third hand, and even fourth hand rumors and innuendo. They believed it was an outrage for the president to fire an ambassador. Even though the president has full authority to retain or remove diplomats for any reason, at any time.",07:19,Taylor/Kent
50,Section_2,Devin Nunes,"Officials show the surprising lack of interest in the indications of Ukrainian election meddling that deeply concerned the president at whose pleasure they serve. Despite all their dissatisfaction with President Trump’s Ukraine policy, the president approved the supply of weapons to Ukraine. Unlike the previous administration, which provided blankets as defense against invading Russians. By undermining the president, who they are supposed to be serving, the elements of the FBI, the Department of Justice, and now the State Department have lost the confidence of millions of Americans who believe that their vote should count for something. It will take years, if not decades, to restore faith in these institutions.",08:01,Taylor/Kent
51,Section_2,Devin Nunes,"This spectacle is doing great damage to our country. It’s nothing more than an impeachment process in search of a crime. With that, I yield back.",08:54,Taylor/Kent
52,Section_2,Bill Taylor,"I’m appearing today at the Committee’s request to provide my perspective on the events that are the subject of the Committee’s inquiry. I want to emphasize at the outset that while I am aware that the Committee has requested my testimony as part of impeachment proceedings, I am not here to take one side or the other or to advocate for any particular outcome of these proceedings. My sole purpose is to provide facts as I know them about the incidents in question as well as my views about the strategic importance of Ukraine to the United States.",00:00,Taylor/Kent
53,Section_3,Bill Taylor,"By way of background, it has been a privilege for me to serve our country and the American people for more than 50 years. Starting as a cadet at West Point is, you have mentioned Mr. Chairman, then as an infantry officer for six years, including with the 101st Airborne Division in Vietnam, then at the Department of Energy, then as a member of a senate staff, then at NATO, then with the State Department here and abroad in Afghanistan, Iraq, Jerusalem, and Ukraine. I retired from the State Department in 2009 to join the United States Institute of Peace. I’m neither a career member of the Foreign Service nor of the civil service. I am nonpartisan and have been appointed to my positions by every president from President Reagan to President Trump.",00:36,Taylor/Kent
54,Section_3,Bill Taylor,"Let me summarize my main points. First, Ukraine is a strategic partner of the United States, important for the security of our country as well as Europe. Ukraine is on the frontline in the conflict with the newly aggressive Russia. Second, even as we sit here today, the Russians are attacking Ukrainian soldiers in their own country and have been for the last four years. I saw this on the frontline last week. The day I was there, a Ukrainian soldier was killed, and four were wounded. Third, the security assistance we provide is crucial to Ukraine’s defense and to the protection of the soldiers I met on the frontline last week. It demonstrates to Ukrainians and Russians that we are Ukraine’s reliable strategic partner. It is clearly in our national interest to deter further Russian aggression.",01:20,Taylor/Kent
55,Section_3,Bill Taylor,"Finally, as the Committee is aware, I wrote that withholding security assistance in exchange for help with a domestic political campaign in the United States would be crazy. I believe that then, and I believe it now. Let me tell you why. On May 28th of this year, I met with Secretary of State Mike Pompeo, who asked me to rejoin the State Department and return to Kyiv to lead our embassy in Ukraine. It was and is a critical time for US-Ukraine relations. I had served as ambassador to Ukraine from 2006 to 2009 having been nominated by George W. Bush, and in the intervening 10 years, had stayed engaged with Ukraine.",02:23,Taylor/Kent
56,Section_3,Bill Taylor,"Across the responsibilities I have had in public service, Ukraine is the highlight, and so Secretary Pompeo’s offer to return as chief of mission was compelling. Since I left Ukraine in 2009, the country had continued to turn towards the west, but in 2013, Vladimir Putin was so threatened by the prospect of Ukraine joining the European Union that he tried to bribe the Ukrainian president. This triggered mass protest in the winter of 2013 that drove that president to flee to Russia in February of 2014, but not before his forces killed a hundred Ukrainian protesters in the Central Kyiv.",03:06,Taylor/Kent
57,Section_3,Bill Taylor,"Days later, Mr. Putin invaded Crimea, holding a sham referendum at the point of Russian army rifles. The Russians absurdly claim that 97% voted to join Russia. In early April, Putin sent his army and security forces into South Eastern Ukraine to generate illegal armed formations and puppet governments and what we know is Donbass. You can see this on the map in right-hand portion, in the eastern portion of the country. 14,000 Ukrainians have died in the war in Donbass, and more die each week.",03:50,Taylor/Kent
58,Section_3,Bill Taylor,"In July of 2014 these Russian-led forces in Donbass shut down a civilian airliner en route from Amsterdam to Malaysia, killing all 298 people on board. We, the Europeans, and most of the west imposed economic sanctions and kicked the Russians out of the G8. Beginning in 2014, we and NATO began to provide military assistance to Ukraine’s armed forces in the form of training, advice, military equipment, and weapons. It is this security assistance that is at the heart of the controversy that we are discussing today. The pro-Russian president who was run out of Kyiv in 2014 had let the Russian armed forces deteriorate to the point of ruin. In response to the Russian invasion, the new Ukrainian authorities, with an amazing outpouring of support from regular Ukrainian people, rebuilt the army nearly from scratch, spending more than 5% of Ukrainian GDP on defense since the war started. The whole Ukrainian nation fiercely responded to the Russian attack. The nation united like never before. A ragtag army developed into a strong fighting force, and the United States played a vital role.",04:27,Taylor/Kent
59,Section_3,Bill Taylor,"Since 2014, you and Congress have provided over $1.6 billion in military assistance to Ukraine. The security assistance provides small unit training at an army base near Lviv in the western of the country. It provides ambulances, night vision devices, communications equipment, counter battery radar, navy ships, and finally, weapons. The security systems demonstrates our commitment to resist aggression and defend freedom.",05:47,Taylor/Kent
60,Section_3,Bill Taylor,"During the 2014 to 2016 period, I was serving outside of government and joined two other former ambassadors to Ukraine and urging the Obama administration officials at the State Department, Defense Department, and other agencies to provide lethal defensive weapons to Ukraine in order to deter further Russian aggression. I also supported much stronger sanctions on Russia. I was pleased when the Trump administration provided Javelin anti-tank missiles and enacted stronger sanctions. All to say, I cared about Ukraine’s future and the important US interests there, so when Secretary Pompeo asked me to go back to Kyiv, I wanted to say yes, but it was not an easy decision. The former Ambassador Masha Yovanovitch has been treated poorly, caught in a web of political machinations both in Kyiv and in Washington. I feared that those problems were still present.",06:16,Taylor/Kent
61,Section_3,Bill Taylor,"I consulted both my wife and a respected former senior Republican official who has been a mentor. I will tell you that my wife in no uncertain terms strongly opposed to the idea. The mentor counseled, “If your country ask you to do something, you do it if you can be effective.” I could be effective only if the US policy of strong support for Ukraine, strong diplomatic support along with robust security, economic, and technical assistance were to continue, and if I had the backing of the secretary of state to implement that policy, and I worried about what I had heard concerning the role of Rudy Giuliani, who had made several controversial statements about Ukraine and US policy toward the country. During my meeting with Secretary Pompeo on May 28, I made clear to him and the others present that if US policy toward Ukraine changed, he would not want me posted there, and I could not stay. He assured me that the policy of strong support for Ukraine would continue and that he would support me in defending that policy. With that understanding, I agreed to go back to Kyiv. Because I was appointed by the Secretary but not reconfirmed by the Senate, my official position was chargé d’affaires ad interim. In effect, I was the acting ambassador to Ukraine.",07:13,Taylor/Kent
62,Section_3,Bill Taylor,"I returned to Kyiv on June 17th, carrying the original copy of a letter President Trump signed the day after I met with the Secretary. In that letter, President Trump congratulated President Zelensky on his election victory and invited him to a meeting in the Oval Office. But once I arrived in Kyiv, I discovered a weird combination of encouraging, confusing, and ultimately alarming circumstances.",08:40,Taylor/Kent
63,Section_3,Bill Taylor,"First, the encouraging: President Zelensky was reforming Ukraine in a hurry. He appointed reformist ministers and supported long-stalled anti-corruption legislation. He took quick executive action, including opening Ukraine’s High Anti-Corruption Court. With a new parliamentary majority stemming from snap elections, President Zelensky changed the Ukrainian Constitution to remove absolute immunity from Rada deputies, the source of raw corruption for two decades. The excitement in Kyiv was palpable. This time could be different, a new Ukraine finally breaking from its corrupt, post-Soviet past.",09:07,Taylor/Kent
64,Section_3,Bill Taylor,"Yet, I found a confusing and unusual arrangement for making US policy toward Ukraine. There appeared to be two channels of US policy-making and implementation, one regular and one highly irregular. As the acting ambassador, I had authority over the regular, formal diplomatic processes, including the bulk of the US effort to support Ukraine against the Russian invasion and to help it defeat corruption. My colleague, Deputy Assistant Secretary of State George Kent and our colleagues at the National Security Council were my main points of contact in Washington in this regular channel. This channel is formally responsible for formulating and overseeing the implementation of US foreign policy with respect to Ukraine, a policy that has consistently enjoyed strong, bipartisan support, both in Congress and in all administrations since Ukraine’s independence from Russia in 1991.",09:47,Taylor/Kent
65,Section_3,Bill Taylor,"At the same time, however, I encountered an irregular, informal channel of US policy-making with respect to Ukraine, unaccountable to Congress, a channel that included then-Special Envoy Kurt Volker, US Ambassador to the European Union Gordon Sondland, Secretary of Energy Rick Perry, White House Chief of Staff Mick Mulvaney, and, as I subsequently learned, Mr. Giuliani. I was clearly in the regular channel, but I was also in the irregular one to the extent that Ambassadors Volker and Sondland including me in certain conversations. Although this irregular channel was well-connected in Washington, it operated mostly outside of official State Department channels. The irregular channel began when Ambassador Volker, Ambassador Sondland, Secretary Perry, and Senator Ron Johnson briefed President Trump on May 23 upon their return from President Zelensky’s inauguration. The delegation was as enthusiastic as I would soon become about the new Ukrainian president and urged President Trump to meet with him early on to cement the US-Ukraine relationship. But from what I understood from the participants, President Trump did not share their enthusiasm for a meeting with President Zelensky.",10:42,Taylor/Kent
66,Section_3,Bill Taylor,"When I arrived in Kyiv, the actions of both the regular and the irregular channels of foreign policy appeared to serve the same goal: a strong US-Ukraine partnership. But it became clear to me by August that the channels had diverged in their objectives. As this occurred, I became increasingly concerned. In late June, both channels were trying to facilitate a visit by President Zelensky to the White House for a meeting with President Trump, which President Trump had promised in his congratulatory letter of May 29. The Ukrainians were clearly eager for the meeting to happen.",12:08,Taylor/Kent
67,Section_3,Bill Taylor,"But during my subsequent communications with Ambassadors Volker and Sondland, they relayed to me that the President wanted to hear from Zelensky before scheduling the meeting in the Oval Office. It was not clear to me what this meant. On June 27, Ambassador Sondland told me during a phone conversation that President Zelensky needed to make clear to President Trump that he, President Zelensky, was not standing in the way of investigations.",12:48,Taylor/Kent
68,Section_3,Bill Taylor,"I sensed something odd when Ambassador Sondland told me on June 28 that he did not wish to include most of the regular interagency participants in a call planned with President Zelensky later that day. Ambassador Sondland, Ambassador Volker, Secretary Perry, and I were on this call, dialing in from different locations; however, Ambassador Sondland said that he wanted to make sure no one was transcribing or monitoring as they added President Zelensky to the call. Also, before President Zelensky joined the call, Ambassador Volker separately told the US participants that he, Ambassador Volker, planned to be explicit with President Zelensky in a one-on-one meeting in Toronto on July 2. In that meeting, Ambassador Volker planned to make clear-",13:17,Taylor/Kent
69,Section_3,Bill Taylor,"In that meeting, Ambassador Volker planned to make clear what President Zelensky should do, to get the White House meeting. I did not understand what this meant, but Ambassador Volker said he would relay that President Trump wanted to see rule of law, transparency, but also specifically, cooperation on investigations, to get to the bottom of things. Once President Zelensky joined the call, the conversation was focused on energy policy, and the war in Donbass. President Zelensky also said he looked forward to the White House visit President Trump had offered in his May 29th letter.",14:03,Taylor/Kent
70,Section_3,Bill Taylor,"By mid-July, it was becoming clear to me that the meeting President Zelensky wanted was conditioned on the investigations of Burisma, and alleged Ukrainian interference and the 2016 U.S. elections. It was also clear that this condition was driven by the irregular policy channel I had come to understand was guided by Mr. Giuliani. In a regular NSC secure video conference call on July 18th, I heard a staff person from the Office of Management and Budgets say that there was a hold on security assistance to Ukraine, but could not say why. Toward the end of an otherwise normal meeting, a voice on the call… The person was off screen… said that she was from OMB, and her boss had instructed her not to approve any additional spending on security assistance for Ukraine until further notice. I, and others, sat in astonishment. Ukrainians were fighting Russians, and counted on not only the training and weapons, but also the assurance of U.S. support. All that the OMB staff person said was that the directive had come from the president, to the chief of staff, to OMB. In an instant, I realized that one of the key pillars of our strong support for Ukraine was threatened. The regular policy channel was running contrary to the goals of longstanding U.S. policy.",14:38,Taylor/Kent
71,Section_3,Bill Taylor,"There followed a series of NSC-led inter-agency meetings, starting at the staff level, and quickly reaching the level of cabinet secretaries. At every meeting, the unanimous conclusion was that the security assistance should be resumed, the hold lifted. At one point, the Defense Department was asked to perform an analysis of the effectiveness of the assistance. Within a day, the Defense Department came back with a determination that the assistance was effective, and should be resumed. My understanding was that the secretaries of defense and state, the CIA director, and the national security advisor sought a joint meeting with the president to convince him to release the hold, but such a meeting was hard to schedule, and the hold lasted well into September.",16:03,Taylor/Kent
72,Section_3,Bill Taylor,"On July 9th, in a phone call with then-Senior Director for European and Russian Affairs Fiona Hill, and Director of European Affairs, Lieutenant Colonel Alex Vindman at the NSC, they tried to assure me that they were not aware of any official change in U.S. policy towards Ukraine, OMB’s announcement notwithstanding. They did confirm that the hold on security assistance for Ukraine came from Chief of Staff Mick Mulvaney, who maintained a skeptical view of Ukraine.",16:46,Taylor/Kent
73,Section_3,Bill Taylor,"In the same July 19th phone call, they gave me an account of a July 10th meeting with Ukrainian and American officials at the White House. They told me that partway through the meeting, Ambassador Sondland had connected investigations with an Oval Office meeting for President Zelensky, which so irritated then-national security advisor John Bolton, that he abruptly ended the meeting, telling Dr. Hill and Lieutenant Colonel Vindman that they should have nothing to do with domestic politics. He also directed Dr. Hill to, “Brief the lawyers.” Dr. Hill said that Ambassador Bolton referred to this deal as, “This is a drug deal,” after the July 10th meeting. Ambassador Bolton opposed a call between President Zelensky and President Trump, out of concern that it would be a disaster.",17:17,Taylor/Kent
74,Section_3,Bill Taylor,"Needless to say, the Ukrainians in the meetings were confused. Ambassador Bolton and the regular Ukraine policy decision making channel wanted to talk about security, energy, and reform. Ambassador Sondland, a participate in the irregular channel, wanted to talk about the connection between a White House meeting and Ukrainian investigations.",18:08,Taylor/Kent
75,Section_3,Bill Taylor,"Also during our July 190th call, Dr. Hill informed me that Ambassador Volker had met with Mr. Giuliani to discuss Ukraine. This caught me by surprise. The next day I asked Ambassador Volker about that meeting, but received no response. I began to sense that these two separate decision making channels, the regular and the irregular, were separate and at odds.",18:28,Taylor/Kent
76,Section_3,Bill Taylor,"Later that day, I received text messages on a three-way WhatsApp text conversation with Ambassadors Volker and Sondland, a record of which was provided by Ambassador Volker. Ambassador Sondland said that a call between President Trump and President Zelensky would take place soon. Ambassador Volker said that what was most important is for Zelensky to say that he will help investigation, and address any specific personnel issues, if there are any.",18:52,Taylor/Kent
